model	BIC
3,0,1,1,1,3	5.55605286548421
3,0,1,1,1,2	5.55648345509599
1,0,3,1,1,2	5.55670059409279
2,0,3,1,1,2	5.55690962872779
3,0,3,1,1,1	5.55728674796124
3,0,2,1,1,2	5.55904339256558
1,0,2,2,1,1	5.55930457899553
3,0,3,0,1,2	5.5596898365935
3,0,2,2,1,2	5.55984131741614
1,0,2,1,1,1	5.56073388627181
3,0,2,1,1,3	5.56084041830385
1,0,2,0,1,2	5.56133443419426
2,0,3,2,1,2	5.56172074729358
2,0,3,3,1,1	5.56210235150777
2,0,0,3,1,2	5.56258322812218
3,0,2,3,1,1	5.56260190015352
3,0,3,2,1,1	5.56287146814256
2,0,3,1,1,3	5.56316226966353
1,0,3,3,1,2	5.56384864985849
3,0,1,2,1,3	5.56421732320872
2,0,2,3,1,2	5.56499765646908
2,0,1,3,1,3	5.56525541995442
3,0,1,3,1,2	5.5658136842222
3,0,3,1,1,2	5.56850001269378
3,0,3,3,1,1	5.56959546878458
1,0,2,2,1,2	5.56970997185599
1,0,2,3,1,1	5.57018714931773
3,0,3,1,1,3	5.57034755412715
1,0,2,1,1,3	5.57138483493366
1,0,2,1,1,2	5.57329621300539
3,0,3,2,1,2	5.57344940326602
1,0,3,3,1,3	5.57931130523853
1,0,2,3,1,2	5.58058358746579
1,0,1,0,1,1	5.58792091383903
1,0,1,2,1,1	5.58836278355315
1,0,1,1,1,1	5.59391494020708
1,0,1,0,1,2	5.59488682701793
1,0,1,2,1,2	5.59780289121476
1,0,1,3,1,1	5.59869497565643
1,0,1,1,1,3	5.60026046996593
1,0,1,1,1,2	5.60731716505544
1,0,1,3,1,2	5.60758887822725
0,0,2,3,1,3	5.61123409121944
0,0,2,3,1,2	5.62931234539465
0,0,2,2,1,3	5.65331782781045
0,0,2,2,1,1	5.6602736315375
0,0,2,2,1,2	5.6734484460298
0,0,2,1,1,1	5.67383332879125
0,0,2,0,1,1	5.67467499034537
0,0,2,3,1,1	5.67516544357228
0,0,2,0,1,2	5.67657585830462
0,0,2,1,1,3	5.67852895348397
0,0,2,1,1,2	5.6952221725347
3,0,0,3,1,0	5.72041890140944
2,0,1,3,1,0	5.72174828948379
1,0,3,3,1,0	5.72669159202695
3,0,2,3,1,0	5.72831830320567
3,0,1,3,1,0	5.72929676526268
2,0,2,3,1,0	5.73198459602382
2,0,0,3,1,0	5.73247093905752
2,0,3,3,1,0	5.73689007459209
1,0,2,3,1,0	5.74364432730502
3,0,3,3,1,0	5.74468980908693
3,0,0,2,1,0	5.76030110450986
1,0,0,3,1,3	5.760917674974
1,0,0,3,1,2	5.76165945301967
2,0,1,2,1,0	5.7618216030385
1,0,3,2,1,0	5.76530900771077
3,0,1,2,1,0	5.76781277301899
1,0,1,3,1,0	5.76909029537631
2,0,0,2,1,0	5.76940854130772
2,0,2,2,1,0	5.77196587253692
3,0,2,2,1,0	5.77521179980743
2,0,3,2,1,0	5.77572650113799
3,0,3,2,1,0	5.78281987307516
1,0,2,2,1,0	5.78381429381786
1,0,1,2,1,0	5.80751248653747
3,0,0,1,1,0	5.81670180490605
2,0,1,1,1,0	5.81766930171764
1,0,3,1,1,0	5.81903403387349
2,0,0,1,1,0	5.82043574512209
3,0,1,1,1,0	5.82410551518024
0,0,1,3,1,2	5.82670706734241
2,0,3,1,1,0	5.82792162242727
2,0,2,1,1,0	5.82798290869782
3,0,2,1,1,0	5.8334161123082
1,0,2,1,1,0	5.83634912886258
3,0,3,1,1,0	5.84102618425025
1,0,1,1,1,0	5.85264938576731
0,0,2,3,1,0	5.86355251713935
1,0,0,2,1,1	5.8895015229865
1,0,0,3,1,1	5.89288594591787
1,0,0,2,1,2	5.89422714942485
0,0,2,2,1,0	5.89657254662339
1,0,0,1,1,3	5.89712916800771
0,0,1,3,1,3	5.90305148346556
1,0,0,2,1,3	5.90466925554517
